ObjectID,bponOntEquipId,bponOntSerialNumber,bponOntSubscriberId1,bponOntSubscriberLocId,ifAdminStatus,ifOperStatus
R1.S1.LT1.PON4.ONT24,,ALCLF87167E7,,WILDCARD,up,down
R1.S1.LT1.PON6.ONT22,     00000G240WF,ALCLB3A5C28E,,22502287,up,up
R1.S1.LT1.PON7.ONT25,,ALCLF8716383,,WILDCARD,up,down
R1.S1.LT1.PON8.ONT28,,ALCLF8715CA5,,WILDCARD,up,down
R1.S1.LT1.PON3.ONT22,NOCLEICODEG240WA,ALCLF8715F2B,ADIDO01_PBO20-F4,22257045,up,up
R1.S1.LT1.PON4.ONT21,NOCLEICODEG240WA,ALCLF8715F12,,WILDCARD,up,up
R1.S1.LT1.PON5.ONT20,     00000G240WF,ALCLB3724200,,22509419,up,up
R1.S1.LT1.PON7.ONT26,NOCLEICODEG240WA,ALCLF8716258,,WILDCARD,up,up
R1.S1.LT1.PON8.ONT25,NOCLEICODEG240WA,ALCLF87167F7,,WILDCARD,up,up
R1.S1.LT1.PON2.ONT20,     00000G240WF,ALCLB3A7CD36,,22507047,up,up
R1.S1.LT1.PON3.ONT23,NOCLEICODEG240WA,ALCLF8716111,,WILDCARD,up,up
R1.S1.LT1.PON5.ONT21,     00000G240WF,ALCLB30FC1E5,,22513876,up,down
R1.S1.LT1.PON6.ONT24,     00000G240WF,ALCLB34596F2,ADIDOGOME1_PBO263-F2,22512330,up,down
R1.S1.LT1.PON7.ONT27,NOCLEICODEG240WA,ALCLF8716616,,WILDCARD,up,up
R1.S1.LT1.PON9.ONT25,     00000G240WF,ALCLB3A5CB92,,22258865,up,up
R1.S1.LT1.PON3.ONT24,NOCLEICODEG240WA,ALCLF86BA447,,WILDCARD,up,up
R1.S1.LT1.PON4.ONT23,,ALCLF87165F0,,WILDCARD,up,down
R1.S1.LT1.PON5.ONT22,,ALCLB372BC90,,91534839,up,down
R1.S1.LT1.PON6.ONT21,     00000G240WF,ALCLB3A5C38C,,22259587,up,up
R1.S1.LT1.PON7.ONT28,NOCLEICODEG240WA,ALCLF8716142,,WILDCARD,up,down
R1.S1.LT1.PON8.ONT27,,ALCLF87167D3,,WILDCARD,up,down
R1.S1.LT1.PON9.ONT26,     00000G240WF,ALCLB3A7CD5E,,22251029,up,up
