ObjectID,extendPortTotalDnDiscByteCounter,extendPortTotalDnFwdByteCounter,extendPortTotalUpDiscByteCounter,extendPortTotalUpFwdByteCounter,ifOperStatus
R1.S1.LT1.PON1.ONT28.C14.P1,0,0,0,0,down
R1.S1.LT1.PON2.ONT27.C14.P1,0,2948682524277,0,449826474207,up
R1.S1.LT1.PON1.ONT25.C14.P1,0,978123583404,0,156562252240,up
R1.S1.LT1.PON2.ONT28.C14.P1,0,1555,0,858,up
R1.S1.LT1.PON5.ONT29.C14.P1,0,190706,0,3801898,down
R1.S1.LT1.PON1.ONT26.C14.P1,0,1717832006419,0,294443974602,up
R1.S1.LT1.PON2.ONT25.C14.P1,0,4612094578724,316,618317799188,up
R1.S1.LT1.PON6.ONT29.C14.P1,0,7124662431183,0,487301452011,up
R1.S1.LT1.PON2.ONT26.C14.P1,0,508485614635,0,126844873504,up
R1.S1.LT1.PON3.ONT29.C14.P1,0,0,0,0,down
R1.S1.LT1.PON5.ONT27.C14.P1,0,1444400349625,948,259613124376,up
R1.S1.LT1.PON4.ONT29.C14.P1,0,1526994,0,1344154,down
R1.S1.LT1.PON5.ONT28.C14.P1,0,793827978298,0,64873463543,down
R1.S1.LT1.PON6.ONT27.C14.P1,0,1666195018566,0,115294100007,up
R1.S1.LT1.PON3.ONT27.C14.P1,0,3282443246747,0,701062568098,up
R1.S1.LT1.PON5.ONT25.C14.P1,0,171557647329,0,14023574315,down
R1.S1.LT1.PON6.ONT28.C14.P1,0,1688422820549,0,239910673032,down
R1.S1.LT1.PON3.ONT28.C14.P1,0,1477683311603,0,145241181166,up
R1.S1.LT1.PON4.ONT27.C14.P1,0,2461187321528,316,291372599995,up
R1.S1.LT1.PON5.ONT26.C14.P1,0,0,0,0,down
R1.S1.LT1.PON6.ONT25.C14.P1,0,1380348120022,0,521486936789,up
R1.S1.LT1.PON3.ONT45.C1.P1,0,9428401171,27959140,12382918071,up
R1.S1.LT1.PON3.ONT46.C1.P1,0,0,0,0,down
R1.S1.LT1.PON7.ONT47.C1.P1,0,0,7752846,17812396,up
R1.S1.LT1.PON5.ONT1.C14.P1,0,423940284996,0,87031786949,down
R1.S1.LT1.PON7.ONT7.C14.P1,0,3478463823271,13594,377700973718,up
R1.S1.LT1.PON9.ONT5.C14.P1,0,387870988407,1448,71477092137,up
R1.S1.LT1.PON5.ONT2.C14.P1,0,0,0,0,down
R1.S1.LT1.PON6.ONT1.C14.P1,0,3684610461060,0,560005526091,up
R1.S1.LT1.PON7.ONT8.C14.P1,0,0,0,0,down
R1.S1.LT1.PON8.ONT7.C14.P1,0,1309135342502,15724,117549374387,down
R1.S1.LT1.PON9.ONT6.C14.P1,0,2340414561549,6883,396438493900,up
R1.S1.LT1.PON3.ONT1.C14.P1,0,0,0,0,down
R1.S1.LT1.PON6.ONT2.C14.P1,0,981289388082,0,139779413987,up
R1.S1.LT1.PON7.ONT5.C14.P1,0,0,0,0,down
R1.S1.LT1.PON8.ONT8.C14.P1,0,0,0,0,down
R1.S1.LT1.PON9.ONT3.C14.P1,0,1737673832836,15485,243017707697,up
R1.S1.LT1.PON3.ONT2.C14.P1,0,21392518315564,0,2102359702568,up
R1.S1.LT1.PON4.ONT1.C14.P1,0,2199163369608,25769,760070139424,up
R1.S1.LT1.PON7.ONT6.C14.P1,0,0,0,0,down
R1.S1.LT1.PON8.ONT5.C14.P1,0,0,0,0,down
R1.S1.LT1.PON9.ONT4.C14.P1,0,0,0,0,down
R1.S1.LT1.PON1.ONT9.C14.P1,0,1037013705167,0,252878948061,up
R1.S1.LT1.PON3.ONT30.C1.P1,0,48097291159,97666929,28457495314,up
R1.S1.LT1.PON4.ONT2.C14.P1,0,1730893774192,0,372454232382,up
R1.S1.LT1.PON7.ONT3.C14.P1,0,2672604387436,18233,159912803261,down
R1.S1.LT1.PON8.ONT6.C14.P1,0,405525575097,414,57950879476,up
R1.S1.LT1.PON2.ONT9.C14.P1,0,7307942203980,0,1018252005300,up
R1.S1.LT1.PON7.ONT4.C14.P1,0,959045718780,402,63420721571,down
